word;translation;sentence;association
դերասան;артист;;
անգամ;раз;;
ներիր;прости;;
կեր;ешь;;
մնա;останься;;Не мнись, останься
գնա;иди;;Gone
գրիր;пиши;;
իր;вещи;;Ирины вещи
ներկա;присутствовать;;Норка присутствует
կարկանդակ;пирожок;;Как будто жуёшь пирожок
դանակ;нож;;Дашнак, а у него данак
բարդ;сложный;;сложный бард
արդուկ;утюг;;
մասին;о/обо;;
ներս;внутрь;;созвучно с immerse
բուրգ;пирамида;;Бурдж халиф
բուն;основной;;
նուրբ;нежный;;
բան;что-то;;
ուսում;обучение;;Намотовать на ус
կերակուր;еда;;перекур
կարգ;ряд;;
կարագ;масло;;Масло под корягой
երգ;песня;;
երես;лицо;;
բու;сова;;
բակ;двор;;Бак во дворе
ՄԱՍՈՒՐ;шиповник;;
սանրել;расческа;;расчесываться на солнце
կարմիր;Красный;;Моя карма красная.
Նամակ;Письмо;;Намалюю письмо.
միրգ;Фрукт;;мир этому фрукту
Նուռ;Гранат;;
արդար;Справидливый;;
Գինի;Вино;;
Նկար;Картина;;
ունի;траур;;
այս;Этот;;Это лёд (ice)
գնդակ;мяч;;
ընկեր;товарищ;;
ընդունակ;способный;;
ովքե՞ր;кто? в мн числе;;
ո՞վ;кто?;;
մոր;матери;;
նոր;новый;;Созвучно в new
գորգ;ковер;;Gorgeous ковер
մոմ;свеча;;
որդի;сын;;Многословный сын (wordy)
որս;дичь;;ворс
ոսկի;золото;;
որ;который;;
կրունկ;Пятка;;
կռունկ;Журавль;;
դեռ;пока еще;;
կեռ;Кривой;;кЭривой
դուր գալ;нравиться;;Нравлюсь я этой дуре!
դուռ;дверь;;Door
սառը;Холодный;;
դառը;горький;;
առու;ручей;;
ներկիր;покрасьте;;
ներկ;Краска;;
բեր;принеси;;Созвучно с bring
դիր;положи;;
սեր;любовь;;
դեր;Роль;;
դար;Век;;Прожить век это дар!
կար;Шитьё, шов;;
սար;гора;;
սուր;острый (нож, кинжал), остро, меч;;
մուր;сажа;;
գարուն;Весна;;Горевать по весне.
միս;Мясо;;
կենդանի;Животное (всякое живое существо);;
սունկ;Гриб;;Гриб в сумке
էական;cущественный, важный, значимый;;
էգ;самка;;Самка снесла яйцо (egg)
կասեն;они скажут;;
կասեմ;я скажу;;
կանեմ;я сделаю;;
անկենդան;Безжизненный, неживой;;
եսիմ;Не знаю, откуда мне знать.;;
եկան;пришел, пришли;;
եկա;Приди!;;
կին;Женщина. Жена, супруга;;
ամուսին;муж;;Созвучно с мужчиной
ամիս;месяц;;
ասա;скажи;;
